modelo;titulo_ml;seccion;precio;colores;stock_a_publicar;foto_url;nota_precio;lista_colores
PALERMO;Lentes De Sol Orbital Palermo Proteccion Uv400;Sol;199000;28;2701;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/palermo-sunglasses-matt-black-gradiant-gray-top-000050A32900003.jpg;subio desde 135500;Azul Degradé Brillo/ Azul Degradé | Beige Pastel/ Habano | Beige Pastel/ Incoloro Antireflex | Beige Pastel/ Rosa | Bordo Degrade Brillo/ Bordo Degrade | Caramelo/ Incoloro | Caramelo/ Verde | Clear Brillo/ Incoloro Antirreflex | Gris Clear / Gris | Gris Degrade/ Gris Degrade | Habano/ Habano Degrade Flash | Hueso/ Incoloro Antirreflex | Marron Brillo/ Verde | Marron Mate / Habano Degrade | Marron Mate / Incoloro Antireflex | Marron Mate / Verde | Marron/ Habano Degrade Flash | Marron/ Incoloro | Negro Brillo / Celeste Flash | Negro Brillo / Gris | Negro Brillo / Incoloro Antireflex | Negro Brillo/ Gris Degrade | Negro Brillo/ Inco AR | Negro Brillo/ Naranja | Negro Brillo/ Ocre | Negro Mate/ Gris | Negro Mate/ Gris Degrade | Negro Mate/ Verde Degrade Flash
BUENOS AIRES I;Lentes De Sol Orbital Buenos Aires I Proteccion Uv400;Sol;199000;28;2389;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/buenos-aires-sunglasses-matt-black-gray-front-002050A35900000.jpg;subio desde 169000;Beige Pastel / Incoloro Antireflex | Beige Pastel Mate / Habano | Beige Pastel Mate / Habano Degrade | Beige Pastel/ Incoloro | Caramelo/ Incoloro | Caramelo/ Incoloro Antirreflex | Caramelo/ Verde | Clear Brillo / Incoloro Antireflex | Clear Brillo/ Incoloro | Gris Clear/ Gris | Gris Degrade/ Gris Degrade | Gris Degrade/ Incoloro Antirreflex | Habano Brillo / Celeste | Habano Brillo / Habano | Habano/ Incoloro | Hueso Mate/ Incoloro Antirreflex | Hueso/ Incoloro | Marron Mate / Habano | Marron Mate / Incoloro Antireflex | Marron Mate / Verde | Marron/ Incoloro | Negro Brillo / Celeste | Negro Brillo / Gris | Negro Brillo / Incoloro Antireflex | Negro Brillo / Naranja | Negro Brillo / Ocre | Negro Mate/ Gris | Negro Mate/ Verde Degrade Flash
SILVERSTONE;Lentes De Sol Orbital Silverstone Proteccion Uv400;Sol;199000;22;1051;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/silverstone-sunglasses-shiny-black-yellow-front-000050A33900105.jpg;subio desde 169000;Azul Degradé Brillo/ Azul Degradé | Beige Pastel/ habano | Beige Pastel/ Incoloro | Beige Pastel/ Incoloro Antireflex | Caramelo/ Incoloro | Caramelo/ Incoloro Antirreflex | Caramelo/ Verde | Celeste/ Celeste | Clear Brillo/ Incoloro | Clear Brillo/ Incoloro Antirreflex | Habano Mate / Habano Degrade Espejado | Habano/ Celeste Flash | Hueso/ Incoloro | Hueso/ Incoloro Antirreflex | Marron Mate / Incoloro Antireflex | Marron/ Habano | Marron/ Verde | Negro Brillo / Incoloro Antireflex | Negro Brillo / Naranja | Negro Brillo/ Verde Degradé Flash | Negro Mate / Gris | Negro Mate/ Habano
LONG BEACH;Lentes De Sol Orbital Long Beach Proteccion Uv400;Sport;199000;10;1072;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/long-beach.png;OJO subio desde 89000;Gris Clear / Celeste | Gris Clear / Gris Claro | Gris Clear / Rojo | Gris Clear / Rosa | Gris Clear / Verde | Negro Brillo / Gris | Negro Brillo / Gris Polarizado | Plata Brillo / Gris | Plata Brillo / Gris Polarizado | Verde/ Verde
LE MANS;Lentes De Sol Orbital Le Mans Proteccion Uv400;Sol;199000;18;1017;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/le-mans-sunglasses-shiny-black-yellow-top-002050976900105.jpg;subio desde 169000;Amarillo Pastel/ Ocre | Azul Brillo / Gris | Bordo Brillo / Gris | Bordo Mate / Ocre | Celeste Pastel / Con Lentilla | Celeste Pastel / Gris | Gris Clear / Gris Degrade Flash | Gris Clear / Plateado Espejado | Gris Oscuro Mate / Gris Claro | Negro Brillo / Gris | Negro Brillo / Gris Degrade | Negro Brillo / Ocre | Negro Brillo/ Celeste Flash | Negro Brillo/ Gris Claro | Negro Mate/ Gris Claro | Rosa Pastel / Gris | Verde Militar Brillo / Gris | Verde Pastel/ Verde
SAN REMO;Lentes De Sol Orbital San Remo Proteccion Uv400;Sport;199000;6;1024;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/san-remo.jpg;OJO subio desde 89000;Naranja/ Habano Degrade Flash | Negro Brillo / Gris | Negro Brillo / Gris Polarizado | Negro Mate / Gris | Plata Brillo / Gris | Plata Brillo / Gris Polarizado
ZERO;Lentes De Sol Orbital Zero Polarizados Uv400;Sport;129000;5;792;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/paesani/zero.png;subio desde 89000;Gris Mate/ Gris Polarizado | Negro Brillo / Gris Polarizado | Negro Mate / Ocre Flash | Negro Mate / Ocre | Rojo Mate / Espejo Azul
SHAKUR;Armazon Anteojos Receta Orbital Shakur;Ofertas;199000;6;784;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/shakur.png;OJO subio desde 79000 y es Ofertas;Azul Mate / Con Lentilla | Clear Rojo Mate / Con Lentilla | Neg Brillo Naranja / Lentilla | Negro Blanco Brillo / Lentilla | Negro Gris Brillo / Lentilla | Negro Mate Rojo / Con Lentilla
VARSOVIA;Lentes De Sol Orbital Varsovia Espejados Uv400;Ofertas;79000;5;774;https://towcgvphxeqilpdnboki.supabase.co/storage/v1/object/public/catalogo/pc/varsovia.jpg;;Negro Brillo / Gris Degrade | Negro Mate / Espejo Celeste | Negro Mate / Espejo Plata | Negro Mate / Espejo Rosa | Negro Mate / Gris
PARIS;Lentes De Sol Orbital Paris Proteccion Uv400;Sol;199000;15;734;https://cdn.shopify.com/s/files/1/0721/2964/2797/files/paris-sunglasses-matt-black-gray-polarized-front-00205096490000P.jpg;subio desde 135000;Azul/ Con Lentilla | Beige Pastel/ Incoloro | Cherry / Con Lentilla | Gris Brillo Clear / Gris | Habano / Celeste | Habano/ Habano | Marron Mate / Con Lentilla | Negro Brillo / Con Lentilla | Negro Brillo / Gris | Negro Brillo / Naranja | Negro Brillo / Ocre | Negro Mate / Gris | Negro Mate / Gris Polarizado | Negro Mate/ Rojo Flash | Verde Militar / Con Lentilla
